grid_id	Site	Rarefied.richness.trend	Rarefied.evenness.trend	Cropland.2005_2015	Cropland.trend	Built.2005_2015	Precip.1993_2018	Precip.trend	Temp.1993_2018	Temp.trend	Lon	Lat	EcoI	EcoII
656	Atascosa Highlands, AZ._-111.16_31.48	0.049787123746795	-0.161317796972757	0.0011727375	-0.094876171094123	0.0048684505	34.8365390559133	-0.000459467665000496	16.8682695168715	0.0230042432292938	-111.16	31.48	SOUTHERN SEMIARID HIGHLANDS	WESTERN SIERRA MADRE PIEDMONT
657	Patagonia, AZ._-110.6908_31.5072	-0.0620496838735666	0.0099817498449308	0	-0.0865298200991184	0.005430787	31.7102570198954	0.000541442226090749	16.7663464179406	0.0228407551194979	-110.6908	31.5072	SOUTHERN SEMIARID HIGHLANDS	WESTERN SIERRA MADRE PIEDMONT
660	Portal, AZ._-109.1667_31.85	-0.0919269727150165	0.0373679790304829	0.0060694395	0.267654083465533	0.0045748265	28.3115389077232	0.0038485205348633	16.0858976902106	0.0217692063207327	-109.1667	31.85	SOUTHERN SEMIARID HIGHLANDS	WESTERN SIERRA MADRE PIEDMONT
596	Ramsey Canyon, AZ._-110.2238_31.424	-0.0737776278317083	0.0289122380815669	0.0144339515	0.027505364525576	0.029732004	34.2685903960314	0.00169395111201497	16.3333335992617	0.0223820947541426	-110.2238	31.424	SOUTHERN SEMIARID HIGHLANDS	WESTERN SIERRA MADRE PIEDMONT
787	Sabino Canyon, AZ._-110.7774_32.3656	-0.0560566162367944	-0.0505970412571101	0.002485158	0	0.0617453115	29.2506415812681	0.000600479878054559	19.1038464842699	0.0227845171223231	-110.7774	32.3656	SOUTHERN SEMIARID HIGHLANDS	WESTERN SIERRA MADRE PIEDMONT
1944	Adams Co._-83.4136_38.7718	-0.0666773766436179	-0.0059358247235729	0.1512542875	0.0531485343716795	0.027317342	94.0310912560194	0.00407119002083379	12.5096155926108	0.00605113736078911	-83.4136	38.7718	EASTERN TEMPERATE FORESTS	SOUTHEASTERN USA PLAINS
2210	Belleplain, NJ._-74.9333_39.25	-0.0656381695306406	0.0223320743981218	0.0341207835	-0.0748312863013321	0.05642155	94.4894246260325	0.00214064643234218	13.0878207295035	0.0167319571524406	-74.9333	39.25	EASTERN TEMPERATE FORESTS	MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
1941	Big Oaks National Wildlife Refuge, IN._-85.4167_38.9333	-0.0810046635149229	0.00683589480474595	0.339927857	-0.00114103777312128	0.022333365	103.545194256	0.00892784656777196	12.8605771438004	0.00525337581091635	-85.4167	38.9333	EASTERN TEMPERATE FORESTS	CENTRAL USA PLAINS
2909	Blackstone Valley Corridor, MA._-71.6117_42.1243	-0.0924004235469913	-0.0056840371955901	0.0180868875	-0.0195798910057912	0.2228992865	104.704489066051	0.0111273184800017	9.72307709852854	0.022113863525084	-71.6117	42.1243	EASTERN TEMPERATE FORESTS	MIXED WOOD PLAINS
836	Bond Swamp National Wildlife Refuge, GA._-83.5765_32.7288	-0.0634222970994499	-0.0663715033890656	0.0598840685	-0.108816348372591	0.2090445925	93.4166682530672	-0.000911403138396184	18.3519233419345	-0.00150967606869716	-83.5765	32.7288	EASTERN TEMPERATE FORESTS	SOUTHEASTERN USA PLAINS
